,timestamp,desired_vel,quat_1,quat_2,quat_3,quat_4,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,velcmd_x,velcmd_y,velcmd_z,ct_cmd,br_cmd_x,br_cmd_y,br_cmd_z,is_collide
226,1752409062.014,5.0,0.9514758,-0.30642423,0.015512201,0.023608088,38.91323,-2.1223288,3.840746,5.027673,0.06998406,-0.39871296,4.7913094,0.5851456,-1.3042076,8.574446005768474,1.4361664714218887,0.030344177002929445,-0.07628754806822433,False
227,1752409062.054,5.0,0.95159435,-0.30627686,0.00947913,0.023933165,39.114414,-2.1150951,3.8230813,5.0306835,0.283808,-0.4953183,4.840135,0.3368973,-1.2081369,6.500725094641495,-0.15310132907130286,-0.34986034990205356,-0.15011630339761545,False
228,1752409062.094,5.0,0.95377403,-0.2996101,0.0063891746,0.022539662,39.31565,-2.100241,3.8003466,5.030983,0.45429835,-0.6467335,4.8666515,0.07640375,-1.144494,6.753100592605712,2.102059819702885,-0.23842565378964203,-0.10991178178999758,False
229,1752409062.134,5.0,0.95809937,-0.28566897,0.0030651493,0.020722885,39.516876,-2.078958,3.7711642,5.029985,0.6085227,-0.81198925,4.858731,0.024149407,-1.1798934,7.316772179204098,4.012325939809943,-0.1841847064668054,-0.0908950329717767,False
230,1752409062.204,5.0,0.9834287,-0.1802908,-0.00309263,0.018805984,39.91908,-2.018944,3.6943593,5.0244503,0.8759043,-1.0940619,4.699494,0.59252334,-1.6011478,6.323211455506729,0.7027056845438782,-0.8880277418801005,-0.13869731660097237,False
231,1752409062.254,5.0,0.99422395,-0.10547137,-0.007969907,0.018193172,40.119976,-1.9822004,3.6480644,5.020184,0.95342,-1.2225275,4.6080317,0.9468572,-1.6939611,6.699818453733726,-0.18100952940120413,-0.8101451964623642,-0.11372110968605775,False
232,1752409062.334,5.0,0.9976347,-0.05657418,-0.035940114,0.015253926,40.52089,-1.9027876,3.5399647,4.997373,1.0238122,-1.4720787,4.74427,0.6583807,-1.4347254,7.76603580857694,-1.8733659398706872,-0.4691835286741274,-0.09217450827383508,False
233,1752409062.414,5.0,0.9894735,-0.1290191,-0.06478128,0.009979845,40.91824,-1.8169706,3.4149818,4.9246254,1.1475271,-1.6111106,4.9830203,0.37208942,0.17622508,12.826975208359263,2.5099737742195494,1.3372265256913654,-0.03747364705604997,False
234,1752409062.454,5.0,0.9890779,-0.13530242,-0.057926927,0.007910289,41.114044,-1.7686471,3.3514295,4.863729,1.2762399,-1.5430166,4.8503585,0.9371464,0.77186525,17.932430189655523,3.0139173801879866,1.3901634848258724,-0.02928175709928819,False
235,1752409062.524,5.0,0.9987198,-0.049891032,-0.0067756753,0.0048646345,41.498646,-1.6547252,3.2483451,4.7700424,1.5485914,-0.9311786,4.2918506,2.2530215,1.22634,22.39078242160433,-0.9240854889991754,-0.4691859073553156,-0.03505181290128947,False
236,1752409062.574,5.0,0.99986494,-0.009417617,0.012947668,0.0037187345,41.68948,-1.5916144,3.2203047,4.7773643,1.5956078,-0.4646442,4.604375,1.8305559,0.66992134,20.855944715939625,-1.879033046011113,-0.9652759005857373,-0.03686787784694446,False
